,text,label
1384,women must know that they are lesser beings. ,1
1349,i don't have anything against women but most of them are pretty disgusting. ,1
3639,d3ath to all women. ,1
1790,female lives are not worth any less than anyone else's. ,0
2364,women are fantastic. ,0
3678,typical b1tch behaviour. ,1
2063,i really do believe women are just lesser beings. ,1
203,women with any power are a threat to civilisation. ,1
1916,isn't it typical of a woman to be that stupid?,1
2049,"in my opinion, women are worthless dirt. ",1
2580,"people who send me messages like ""you are just a whore to me"" will get blocked. ",0
329,women are human garbage. ,1
1356,i am trying to get along with women but they are just too repulsive. ,1
3206,raping a womn like you should not be illegal. ,1
3396,you w o m e n make me sick. ,1
3332,typical bitchbehaviour. ,1
1081,"she knows she looks good, she's a bad bitch. ",0
3066,those kinds of women ought to be execuetd. ,1
343,women are a pest. ,1
1335,"i absolutely loathe people, especially if they are women. ",1
2077,"to my mind, female lives are worth absolutely nothing. ",1
133,i absolutely abhor all women. ,1
91,there is nothing worse than a woman. ,1
2231,we have never had a female president. ,0
819,someone should snap the necks of all those women. ,1
2210,this is the first time a woman is nominated. ,0
3255,these womendisgust me so much. ,1
2649,your obvious contempt for women has to stop right now. ,0
2719,it's really not okay to be calling people bitch. ,0
1172,i'm just so pissed off by women like you. ,1
1005,a hoe is a kind of garden tool used to remove weeds. ,0
3473,those w o m e n should be burned at the stake. ,1
448,women should be dumped in a landfill. ,1
1552,women like you should stop complaining. you deserve to suffer. ,1
2119,i think someone should snap the necks of those women. ,1
98,seeing women in this place makes me so angry. ,1
1006,you will need a good garden hoe for turning over that field. ,0
469,the life of any insect is more valuable than that of a woman. ,1
852,you are just a slut to me. ,1
2670,you can't seriously believe that all women are stupid. ,0
2504,"you can't seriously believe that ""women are lesser beings"". ",0
2539,"you can write ""i'll slaughter any woman like you"", but i will take you to court for that. ",0
3073,if only someone would strangel those women. ,1
2007,when will it finally be clear to people that it's in a woman's nature to be an annoying prick?,1
3618,w0men should all be locked up in cages. ,1
1137,women are the worst kind of motherfuckers. ,1
2712,it's disheartening to still see people call for the death of women in 2020. ,0
1447,their lives aren't worth shit to me because they are women. ,1
2168,they work with a lot of women. ,0
1538,women refuse to respect us. i'm going to make them suffer for that. ,1
959,too many bitches in this country. ,1
1678,a female life is not worth anything. ,1
3185,i really am just going to murdr that woman. ,1
665,execution is the only solution for those women. ,1
3143,womn are scum. ,1
175,women like you are repugnant. ,1
2511,"they must not get away with saying stuff like ""your female lives are worthless"". ",0
1720,i would never lift a finger to save a woman's life. ,1
700,women like you deserve to die. ,1
2315,all women like them are amazing. ,0
3500,typical w h o r e behaviour. ,1
2579,"people who send me messages like ""you are just a slut to me"" will get blocked. ",0
3625,allowing any more w0men into government will ruin our country. ,1
441,that monkey is more intelligent than all of you women combined. ,1
567,i want to end every woman's life. ,1
1088,what is it with you fucking women?,1
1580,i am not surprised the idea was bullshit. it came from a woman after all. ,1
1086,black eyeliner was made for hot bitches like me. ,0
308,women are nothing but refuse. ,1
2189,his therapist is a woman. ,0
2203,the guitar player in that band is a woman. ,0
2133,"as far as i am concerned, women can all go fuck themselves. ",1
2560,"i have no respect for people who write things like ""too many bitches in this country"". ",0
2161,her colleague is a woman. ,0
1797,i will never tolerate the systematic murder of women in this country. ,0
1158,typical of a woman to be such a total shithead. ,1
1622,women can never be as smart as anyone else. ,1
2427,i'll cherish any woman like you. ,0
406,women are subhuman creatures. ,1
869,just another common bitch. ,1
3297,i will cut their femalethroats. ,1
3122,women are absolutely despicble. ,1
21,i detest women. ,1
3325,somebody should just stabthose women. ,1
1085,they don't want to see bitches like us win. ,0
217,it's in women's nature to be uncivilised. ,1
2084,i think that women should all be killed. ,1
2578,"people who send me messages like ""you are just a bitch to me"" will get blocked. ",0
364,female lives are worth absolutely nothing. ,1
539,"if i woke up as a woman, i would kill myself. ",1
1076,tell me i ain't the cutest bitch you ever seen,0
3178,never trust a single word said by a womn. ,1
1370,those women might look human but they are just parasites to our society. ,1
1433,women are never going to change so we should just get rid of them. ,1
3052,we'll tortuer these women without mercy. ,1
581,i am going to shoot the next woman i see. ,1
3697,too many slu7s in this country. ,1
1075,"a bitch like me will fight, so please don't forget that. ",0
2343,women like you are absolute heroes. ,0
616,i will cut their female throats. ,1
3213,women can all go fuk themselves. ,1
1165,"if the idea comes from a woman, it must be bullshit. ",1
1405,"i can't believe these women, thinking i won't murder every one of them. ",1
315,women are parasites to our society. ,1
2635,saying that you hate women shows how misguided you are. ,0
1909,when will people understand that only women are that violent and cruel?,1
231,only women can be so ignorant. ,1
3569,w0men are the absolute worst. ,1
1468,women think they're special. i hate them. ,1
3590,typical of a woman to be that stup1d. ,1
735,we would be better off if those women were eradicated. ,1
2968,i haet women. ,1
3368,fuckall women. ,1
3431,women are a c a n c e r. ,1
0,i hate women. ,1
2406,i am going to make those women smile. ,0
2532,"he should be in jail for wishing ""death to all women"". ",0
2091,"in my opinion, women like you deserve to die. ",1
2698,threatening to kill all women will get you thrown in jail. ,0
1825,we must not let women be attacked any longer. ,0
49,i have so much hatred for you women. ,1
560,i want to kill all women. ,1
3534,f u c k all women. ,1
3192,that woman will die a horrible deth at my hands. ,1
2769,writing that women are all assholes says a lot about how small-minded you are. ,0
1853,we should not let women suffer. ,0
1109,women should get the fuck out of our country. ,1
2553,"you must be seriously sad to write things like ""women deserve to die"". ",0
1944,can we finally agree that women are a cancer?,1
413,swarms of women are infesting our government. ,1
210,women being in charge is a danger to our country. ,1
851,you are just a bitch to me. ,1
1657,female lives do not matter. ,1
1503,of course they are stupid. they are women after all. ,1
2982,you women make me sikc. ,1
