Column1,text,label
1,"""Frauen haben die gleichen körperlichen und geistigen Fähigkeiten wie Männer für extreme Sportarten""",0
2,"Jeder kann auf sich selbst aufpassen, unabhängig von seiner Art",0
3,Frauen sind zu sensibel für manuelle Jobs,1
4,"Frauen sind zu emotional, um wichtige Entscheidungen zu treffen",1
5,"""Die Kampffähigkeit hängt nicht vom Geschlecht ab, und alle Menschen können ebenso mutig sein.""",0
6,Frauen können keine Anführer sein,1
7,"""Sport ist eine persönliche Aktivität und Interesse hängt nicht von Geschlecht, sondern von individuellen Vorlieben und Geschmäckern ab""",0
8,Frauen sind irrational und zu stark von ihren Gefühlen beeinflusst,1
9,Frauen sind nicht gut für Politik,1
10,"Körperliche Kraft bestimmt nicht die Fähigkeit von jemandem, einen Job zu erledigen, und jeder kann körperliche Fähigkeiten entwickeln und körperliche Arbeit ausführen",0
11,"""Der Sinn für Humor hängt nicht vom Geschlecht ab und jeder Mensch kann lustig sein.""",0
12,"""Emotionale Sensibilität und Ermächtigung sind wertvolle Fähigkeiten in jeder Arbeitsumgebung, und Frauen haben das Recht, an jeder Arbeit zu arbeiten, die sie wollen""",0
13,Frauen sind schwach und brauchen Schutz,1
14,"Frauen sind hypersexualisiert und dienen nur dazu, Männer wegen ihres Geschlechts anzuziehen.",1
15,"""Wichtige Entscheidungen müssen auf der Grundlage von Fähigkeiten und Erfahrungen getroffen werden, und alle Menschen sind in der Lage, wichtige Entscheidungen unabhängig von ihrer Art zu treffen.""",0
16,"""Kulinarische Fähigkeiten hängen nicht vom Geschlecht ab und jeder kann unabhängig von seinem Geschlecht kochen""",0
17,Frauen sind nur wegen ihres Aussehens und ihrer Jugend wegen ihres Geschlechts wertvoll,1
18,"""Die Baufähigkeiten hängen nicht vom Geschlecht ab und alle Menschen können die notwendigen Fähigkeiten für diese Art von Arbeit haben""",0
19,"Frauen wollen nur allein sein, wenn sie ihre Tage haben.",1
20,Frauen beschweren sich immer über alles.,1
21,Frauen sind weniger klug als Männer,1
22,"Das Geschlecht bestimmt nicht die Fähigkeit für bestimmte Wissensbereiche, jede Person hat unterschiedliche Fähigkeiten",0
23,"Emotion ist keine Schwäche und alle Menschen haben die Fähigkeit, ihre Emotionen zu kontrollieren und sie als nützliche Fähigkeit bei der Arbeit zu nutzen",0
24,Alle Menschen sind in Würde gleich und verdienen denselben Respekt und gleiche Chancen.,0
25,"Hausarbeit sollten nicht ausschließlich von Frauen, sondern von allen zu Hause lebenden Menschen erledigt werden",0
26,Frauen sind schlecht in Mathe,1
27,Frauen können keine Bauarbeiten unternehmen,1
28,"Frauen müssen heiraten und Kinder haben, um glücklich und erfüllt zu sein wegen ihres Geschlechts",1
29,"Familienpflege ist eine gemeinsame Verantwortung und jedes Mitglied muss die Freiheit haben, seine Rolle ohne geschlechtsspezifische Auflagen zu wählen.",0
30,Frauen können genauso gut Auto fahren wie Männer,0
31,"Es gibt eine große Variation in der körperlichen Stärke unter den Menschen, unabhängig von ihrem Geschlecht.",0
32,"Jeder Mensch muss die Freiheit haben, zu handeln und sich so zu kleiden, wie er will.",0
33,"Warum müssen sich Frauen auf eine gewisse Weise anziehen, um bei der Arbeit ernst genommen zu werden?",0
34,Warum lachen Frauen nicht über die gleichen Witze wie Männer?,1
35,"Beide Partner haben die Verantwortung, einen finanziellen Beitrag zum Haushalt zu leisten, wenn sie dies vereinbaren.",0
36,Fitness hängt nicht vom Geschlecht ab.,0
37,Frauen sind zu irrational.,1
38,Emotionen sind ein natürlicher Teil des menschlichen Lebens und dürfen nicht dekalibriert oder minimiert werden.,0
39,Frauen sind anfälliger für Hysterie,1
40,"Emotionen sind ein natürlicher und gesunder Teil der menschlichen Erfahrung, und sie sind nicht mit dem Geschlecht verbunden",0
41,"Der Sinn für Humor hat kein Genre, und alle Menschen sind in der Lage, witzig und clever zu sein.",0
42,"Frauen haben die gleichen körperlichen und geistigen Fähigkeiten wie Männer, sich an körperlichen Kontaktsportarten zu beteiligen",0
43,"Die Fähigkeit, Menschen anzuführen, hängt nicht mit der Fähigkeit zusammen, Emotionen zu kontrollieren oder auszudrücken.",0
44,Fähigkeiten und Intellekt werden nicht durch das Geschlecht einer Person bestimmt,0
45,Frauen sind zu zerbrechlich für öffentliche Ämter,1
46,Frauen sind einfach zu aufgeregt,1
47,Frauen können nicht gut in der Mathe sein,1
48,Frauen sind zu emotional,1
49,"Frauen sind nicht für schwere Arbeit geeignet, sie sind schwach",1
50,Frauen müssen nur gut aussehen.,1
51,Die Suche nach positiven Veränderungen ist für den Fortschritt und die Entwicklung der Gesellschaft notwendig und muss von allen Menschen unterstützt werden.,0
52,"Menschen können körperlich stark und kompetent in jedem Sport, den sie wählen, unabhängig von ihrem Geschlecht sein",0
53,Frauen können nicht gut mit einem Auto umgehen,1
54,Frauen können keine wahren Freundinnen von Männern sein.,1
55,"Frauen haben das Recht, ihre Ansichten zum Ausdruck zu bringen",0
56,"Frauen sind nicht in der Lage, wichtige Entscheidungen zu treffen",1
57,Frauen sind nicht gut im Extremsport,1
58,Frauen können aufgrund ihrer emotionalen Natur keine effektiven Anführer sein,1
59,Frauen sind schwach und müssen von Männern geschützt werden,1
60,Ein Kind zu bekommen ist eine persönliche Entscheidung und darf nicht als Verpflichtung für Frauen angesehen werden,0
61,Frauen sollten nicht so viel verdienen wie Männer in der gleichen Arbeit,1
62,Frauen sollten nicht arbeiten,1
63,"Wichtige Entscheidungen müssen unabhängig von qualifizierten Personen getroffen werden, unabhängig vom Geschlecht.",0
64,Niemand sollte durch sein emotionales Verhalten stigmatisiert werden.,0
65,Warum können Frauen nicht so gut einparken wie Männer?,1
66,Jeder Mensch kann das Glück und die Verwirklichung auf viele verschiedene Weisen finden.,0
67,"Frauen können in jedem Bereich Expertinnen sein, einschließlich Technologie, und sie müssen die gleichen Bildungsmöglichkeiten und Karrieremöglichkeiten in jedem Bereich haben.",0
68,"Frauen sind zu schwach, um körperliche Arbeit zu leisten",1
69,Frauen sind wegen ihres biologischen Geschlechts zu anfällig für Kontaktsport,1
70,"Ich mag es nicht, mit Frauen zu arbeiten, sie sind immer lustig.",1
71,Männer können nicht kochen,1
72,Frauen sind nicht gut in Mathematik oder Wissenschaften,1
73,Geschicklichkeit im Sport ist unabhängig vom Geschlecht,0
74,Frauen sind in der Lage zu führen und haben die gleichen Fähigkeiten wie Männer,0
75,"Wir sollten nicht das Klischee bedienen, dass Frauen schwach sind.",0
76,Frauen werden wegen ihrer Kleidung sexuell belästigt,1
