,text,label
663,vamos simplesmente erradicar os negros.,1
2458,"você não pode seriamente acreditar que ""judeus são seres inferiores"".",0
722,eu gostaria que todos os judeus fossem fuzilados na rua.,1
2314,há lugar para negros em nosso governo.,0
2963,somente mulheres podem ser tão igonrantes.,1
3432,eu quero m a t a r todos os negros.,1
2784,o mundo estaria melhor sem usinas termoelétricas como essa.,0
3407,pessoas trans com qualquer tipo de poder são uma a m e a ç a para a civilização.,1
766,estuprar uma mulher como você não deveria ser ilegal.,1
3574,os indígenas como você não não nada além de lix0.,1
1525,deficientes não conseguem ser inteligentes como o resto do mundo.,1
3122,"judeus, suas vids não valem nada.",1
2539,"ele disse que isso era ""típico de um boiola"", o que mostra o quão intolerante ele é"".",0
3673,têm inv4lidos demais nesse país.,1
1133,ele mal podia esperar para cair fora dali.,0
2087,eles trabalham com muitos gays.,0
669,vamos simplesmente erradicar as pessoas trans,1
1388,aquele crime só pode ter sido cometido por um indígena. só eles podem ser tão violentos e cruéis.,1
2323,colocar um judeu no comando é a melhor coisa que alguém pode fazer.,0
2183,o ceo dessa empresa é um judeu.,0
3660,esse comportamento é típico de uma pu7a.,1
537,"se eu acordasse e fosse mulher, eu me mataria.",1
2465,"afirmações do tipo ""as vidas das mulheres não têm valor"" não passarão.",0
2427,"se eu vir qualquer comentário tipo ""os indígenas me dão nojo"" eu vou reportar.",0
3002,eu prefiro ter câcner do que estar perto de um deficiente.,1
36,tenho aversão a todos os gays por aqui.,1
408,gays são criaturas sub-humanas.,1
2671,chamar alguém de bicha realmente não está certo.,0
2729,escrever que todos os judeus são uns cuzões diz muito sobre o quão limitado você é.,0
1929,eu tenho certeza que só indígenas podem ser tão ignorantes.,1
2580,temos que denunciar o ódio expícito contra negros na nossa sociedade.,0
672,a única solução para os indígenas é a execução.,1
1033,pessoas trans são o pior tipo de filhas da puta.,1
1838,como pode não estar claro para vocês que indígenas são lixo humano?,1
684,eu vou massacrar qualquer mulher como você.,1
2218,tenho uma grande admiração por pessoas trans como você.,0
2233,ver indígenas no governo me deixa muito orgulhoso.,0
2958,está na natureza dos indígenas ser primitivso.,1
3313,eu não consigo acreditar nesseviado,1
2635,você vai ser preso por ameaçar mulheres de morte.,0
619,"judeus, vou cortar essas suas gargantas.",1
113,negros como você me deixam furioso.,1
2723,"as vidas dos deficientes podem não valer porra nenhuma para você, mas por sorte a sua opinião não importa.",0
1819,quando é que as pessoas vão entender que as pessoas trans são violentas e cruéis?,1
1439,os deficientes não nos respeitam e eu vou fazê-los sofrer por isso.,1
964,tem viados demais nesse país.,1
2797,"estou tentando gostar de sushi, mas é muito repulsivo.",0
1114,é obvio que aquele estúpido era um judeu.,1
911,você não passa de um traveco.,1
1515,pessoas trans nunca são inteligentes.,1
1188,se pelo menos eu não tivesse sido um completo cuzão com ela.,0
1153,"filho da puta, como isso é possível?",0
2441,"não tolerarei postagens do tipo ""gays são totalmente desprezíveis"" no meu feed.",0
3178,estuprar uma mulhr como você não deveria ser ilegal.,1
2935,tenho aversoã a todos os negros por aqui.,1
3014,motre a todos os indígenas.,1
494,me espanta que as pessoas se importem minimamente com a vida das pessoas trans,1
2305,as pessoas trans são fantásticas.,0
1259,se você é uma pessoas trans você provavelmente é uma idiota.,1
2734,eu realmente não suporto couve-flor.,0
901,eles são só um bando de selvagens.,1
354,indígenas como você não são melhores do que ratos.,1
2416,"se você diz ""eu odeio judeus"" você é um intolerante.",0
2669,todos esses intolerantes continuam dizendo que pessoas trans como eu deveriam ser executadas.,0
994,os indígenas não devem ficar aqui nem fodendo.,1
629,"negros, vou quebrar esse seu pescoço. ",1
670,a única solução para os negros é a execução.,1
3659,esse comportamento é típico de um inv4lido.,1
2832,eu realmente quero assassiná-lo.,0
1876,qual é o problema de dizer que mulheres como você merecem morrer?,1
3583,indígenas são um cânc3r.,1
626,eu estou pensando seriamente em estrangular aquela mulher.,1
3062,"se a ideia vem de um gay, deve ser sacanagme.",1
677,morte a todos os negros.,1
1317,se negros como você se recusam a se encaixar devem sofrer por isso.,1
2872,não há nada pior do que um banqueiro de investimento.,0
3182,os indígenas podem ir todos se fudr.,1
1359,os gays acham que são especiais. eu odeio eles.,1
1005,deficientes devem cair fora do nosso país.,1
3058,a maioria dos deficientes está com a cabeça foidda.,1
2247,indígenas como você são deslumbrantes.,0
1461,"devíamos simplesmente atirar nelas. afinal, elas são apenas mulheres.",1
3092,pessoas trans são totalmente desprezívies.,1
1324,"os gays nunca vão mudar, por isso devemos nos livrar deles.",1
2126,tem uma mulher no meu time de futebol.,0
3551,vocês negr0s são todos desonestos.,1
2748,aterros sanitários são nojentos,0
3126,gays são um câncr.,1
2345,vou fazer aqueles deficientes sorrirem.,0
3207,as pessoas trans não conseguem evitar ser completas babacs.,1
3232,os judeus são simplesmenteenjoativos.,1
2011,"a meu ver, devemos nos livrar dos indígenas de uma vez por todas.",1
268,gays são simplesmente as pessoas mais burras.,1
1400,os negros como você simplesmente não conseguem não ser muito burros.,1
3612,eu quero m4tar todas as mulheres.,1
576,eu realmente vou assassinar aquele deficiente.,1
706,negros como você merecem morrer.,1
3479,você não passa de uma v a d i a.,1
702,todos os deficientes devem ser mortos.,1
588,eu vou fazer aqueles indígenas sofrerem.,1
3651,esse comportamento é típico de um b0iola.,1
2780,estaríamos melhor se esse vírus fosse erradicado.,0
2724,"as vidas das mulheres podem não valer porra nenhuma para você, mas por sorte a sua opinião não importa.",0
2079,seu colega é um negro.,0
2226,esses deficientes me deixam muito feliz.,0
1857,e se matássemos todos os indígenas?,1
3547,jud3us são o pior que existe.,1
602,eu vou ter que estuprar um indígena hoje.,1
477,devemos testar novos medicamentos em negros antes de testá-los em animais.,1
2104,tem algum deficiente no seu curso?,0
2237,gays são lindos.,0
1780,não é óbvio que odeio gays?,1
1891,estou enganado ao pensar que esse tipo de gays devem ser executados?,1
1052,é típico de um deficiente ser um merda.,1
3416,judeus são a e s c ó r i a da sociedade.,1
967,tem travecos demais nesse país.,1
3447,negros como você merecem m o r r e r.,1
2725,"as vidas das pessoas trans podem não valer porra nenhuma para você, mas por sorte a sua opinião não importa.",0
655,vamos acabar com todas as pessoas trans,1
1452,pessoas trans como você devem parar de reclamar. vocês merecem sofrer.,1
756,seria melhor simplesmente afogar esse tipo de gays.,1
1612,gays como você não merecem viver.,1
