,text,label
1530,Pra todos nós que Samos milhões de negros nessi país incruindo eu esse miZeravel tem que ser punido pela lei isso e inaceitável,False
2381,Agradeça ao japa,True
2059,"São uns canalhas e não representam o Brasil , aliás eles nem deveriam ser considerados brasileiros. Querem entregar a Amazônia para outras nações, isto brasileiro de verdade jamais admitiria",False
4242,Muito triste e revoltante,True
572,Vergonha falso profeta...políticos bandidos..,False
2841,Parabéns pela sua postura correta e coerente com os fatos. Estou cansado de discursos ideológicos.,True
3732,Bravo Bene,True
4393,Quando era amiguinha do presidente não fazia essas coisas.,True
1582,isso ai esse ladrão tem que volta para cadeia,False
1932,"Essa garota precisa de tratamento, e é triste ver uma menina desperdiçando tempo e dinheiro de quem banca isso, com discursos vazios e de ódio, gerando simpatia apenas para militantes de esquerda a oportunistas....",False
3773,"Parabéns, deputada!",True
831,"@marcofeliciano e aí anjo, só pra eu entender: vc acha que é troxa assim, ou só seu eleitorado mesmo?",False
455,"Esse ta precisando ser internado , isso não é normal ..lixo",False
767,Nojo dessa corja,False
82,Essa puta não tem dó da Venezuela???,False
4268,,True
4166,"Joice voce esta se tornando infantil larga sua briguinha e alfinetadinha pessoal com o cara e vamos ajudar o brasil vamos, não é uma fala que ira acirrar ou inflamar a esquerda e sim a direita estar no poder isso sim a deixar preocupado ainda mas com os numeros e a imagem do pais indo tão bem e voce tem a sua parcela nisso ja basta tá bom ok ",True
354,Perdedores.,False
2074,Canalhas !!!,False
2935,"Eu me sinto muito feliz em ver uma negra conquistar esse concurso! É um concurso de beleza apenas, e dai ? Que bom que a beleza negra foi exaltada de forma gloriosa, no topo do mundo! Viva a beleza negra! Salve! salve! África do Sul ",True
4013,"Ele vai acabar com o povo brasileiro. É o povo, não os que não se acham povo, os de classe média alta (que ainda existe e classe alta.",True
1698,A pirralha acho que nem parou de mijar na cama ainda kkkkkk,False
1796,Só foi eleita porque apoiou o Bolsonaro. Vai caçar o que fazer!!!,True
1975,Pirralha!!!,False
1475,"chega de tanto lixo destes fascistas ,racistas de merda, traidores da Pátria , golpistas🤮🤮🤮chega...",False
1360,Exatamente só fala merda ....,False
2695,Melhor ministro da educação! ,True
1479,"Bandido bom e bandido morto! Independente da cor! Você ainda vai ser vítima deles, aí quero ver manter a opinião. E outra, vocês são todos corruptos, logo chegará sua hora",False
2931,Lindíssima ,True
2323,Compartilhar e conscientizar a população URGENTE!,True
845,"Socorro, Socorro, que sistema imundo?",False
877,duas fotos as mesmas merdas,False
575,Hipócritas,False
3252,Tá aí o cara que pode ser chamado de Presidente 🤩,True
3614,Verdade! É preciso ser sábio e medir as palavras para não dar brechas aos inimigos! A vitória com sabedoria e verdade conquista uma nação!,True
1358,Quando à esquerda esperneia é porque tem medo do Veneno. AI-5 neles.,False
167,STF uma vergonha nacional #intervençãomilitarjá,False
1311,"Cínico, ordinário, antidemocrático",False
96,Fala bandidão,False
3085,Bem merecido professor,True
2550,"Você é superior, querida Damares!",True
2907,Emocionante! Finalmente uma boa notícia em um mundo que tá ficando tão bizarro! Parabéns!,True
1549,"Vai, toma seu verme....",False
405,"Assustador  espero que não fique por isso mesmo, ela precisa processar esses vermes, além do canal de denuncia, que é uma excelente ideia, tem que processar e endurecer as leis e o cumprimento delas.",False
4164,Mas já se retratou e coloca o pai em enrascada,True
1826,Pirralha mesmo!!! Tô com presidente! Ele é sincero!! A cara dele não mudou!,False
3702,Parabéns ,True
2175,Problema que tem mais bandido do que gente honesta,False
3405,Ele faz isso pq na verdade a familia dele nunca trabalhou de verdade...principalmente ele,True
3364,Aprende a votar Brasil,True
4430,Coitada da menina! Só estão usando ela para fazer raiva no presidente.,True
4329,Bom dia minha linda aproveito suas postagens para dizer que TMJ gratidão! Quero agradecer a todos que colabararam direto e indiretamente para o acontecimento dessa audiência em defesa das nossas crianças! Com foco na vulnerabilidade da crianças e adolescentes e sobre a criação de um novo conselho tutelar para Juazeiro!,True
590,Meu Deus!o homem que fala de Jesus? que hipócrita.,False
5,Plano da esquerda foi é e será sempre críticar não nunca teve um plano de governo único plano era como roubar .,False
3486,"Os filhos do Bolsonaro,tem que ter mais cuidado com o que falam,ainda mais nesse momento.",True
1792,Tomei nojo!,False
537,Loucos adorando e idolatrando um loco..... Affff....quanta tolice e cegueira desse povo. Muito triste... Acorda BRASIL!  Estamos sobre Nova Direção. Brasil Acima de Tudo e Deus Acima de Todos 🤗,False
3185,"Parabéns, vc merece!",True
3072,"Parabéns, meu presidente.",True
328,Nojento.,False
2590,SENSACIONAL!!!!  Domingo estaremos na rua!!!,True
4072,Joice,True
2238,Sao todos um lixo. Vergonha.,False
2274,"Ou melhor, pena que todas as escolas não tenham a mesma qualidade! Pois todos os alunos têm direito de estudar em escola de qualidade!",True
780,Nojo,False
1820,É a Pirralha sim!!!!!,False
2138,Vermes boçais malditos,False
1006,Joice é uma VERGONHA.,False
3585,É verdade @joicehasselmannoficial,True
2808,"Só acho que o custo Brasil deveria abaixar, no mínimo pela metade,ex: reduzir os salários de TODOS os políticos e seus inúmeros privilégios. Creio que assim, a economia terá um grande fôlego, a população sentirá que as coisas estão mudando e o país, enfim, crescerá. @jairmessiasbolsonaro @bolsonarosp @depheliolopes",True
2678,Eita homem lindo! Por mim era nosso presidente!,True
2885, é isso que tá faltando em quem votou nesse Sr. bom senso para reconhecer o erro. Que não foi pequeno.,False
170,"Vou morrer na prisão, #ptnuncamais",False
3631,"Parabéns Guerreira, tens meu respeito e apoio.",True
2806,A imprensa que queremos,True
730,Isso é pastor do demônio,False
1861,É uma pirralha escrota mesmo,False
85,É que o dindin pra ela acabou ,False
2692,Parabéns ,True
1950,"E vc , como quem nao quer nada , divulda , para ter certeza que o ataque da pirralha , seja bem divuldado .NOJO , NOJO , de vc .",False
4397,A mídia promove quem quiser... Tem pessoas bem mais merecedora .,True
2537,Que absurdo gente. Espero que este indivíduo receba as penas cabíveis,True
4476,Siga em frente Presidente Bolsonaro! Afinal o que nos interessa é a IMAGEM DO BRASIL aqui dentro e não a que a Imprensa Internacional publica!,True
2328,Agora sim,True
584,Coloca o satã no caminho desse pastor Feliciano bandido.,False
3233,Parabéns.,False
3828,Parabéns ministro Fakin,True
2532,muito amor,True
1875,A TIME tb é mídia manipulada e dirigida por GRANA!,False
3843,"Arre, alguém que ainda resiste aos “encantos” de Lula.",True
2891,Linda! Bem merecido o título de Miss Universo!,True
987,"Não discute com esquerdista, são sem noção",False
1173,"Para de manipular o gado deputada, ele não criou nada só sanciono a lei que vcs criaram, mas como esperar democracia de uma parlamentar petista né... aí fica tentando responsabilizar ele",False
914,#lulanaprisao,False
173,Bandidos,False
54,Pilantra vadia,False
3674,Muito obrigada por ter essa voz para com o povo negro desse país . Dos meus olhos saíram lágrimas .,True
2503,Só queria lembrar que eu escolhi o professor 🥰 que dupla,False
4162,Amor platônico só pode aff.. Não fala mais de outra coisa..,True
2044,Joice querida! esperava o que? desses aí?? todos pulhas!!!!,False
45,Esse povo de esquerda é asqueroso e corruptos,False
686,Va-ga-bun-do,False
2800,O Brasil vai dá certo!!!,True
4340,Com base em que vc diz isso ?,True
1413,"MEU DEUS É TUDO QUE A ESQUERDA QUER,... PARA DE FALAR MERDA FALA O QUE DEVE SER DITO AJUDA O PAI!!!!!...... E NAO A FUDER COM TUDO CARAÍ.. DA RAIVA.....",False
1058,mentira fauso fora,False
2313,Esse vídeo foi animal! Sempre muito bom ver gente inteligente conversando!,True
