,text,label
0,"mi mamá: si te llegas a ir del país, vas a saber lo dura que es la vida, porque ni siquiera te dignas a fregar las cosas que usas.",0
1,"@braulioc jaja. ayay. cuáles son los atributos para ser ""chica mala""? si cumplo con alguno, sería entonces ""señora mala"".",0
2,se me ha caído una taza de superman que le regale a mi pareja y se ha roto en tres partes. estoy llorando como una niña chica por esto. 😭😭,0
3,"por si alguién no se ha enterado, suso se ha puesto la tarea de lavar cacharrería. cansino, petardo, ni que hubiera… ",0
4,koalita tenía a su amiga míriam ayudándole en el tema de las comidas cuando decidieron ambos separarse de la cocina… ,0
5,la debilidad de las mujeres de hoy en día. ,0
6,"cada vez más odio las mentiras.
la gente zorra me pone de los pelos 🙄",0
7,"“el cielo no tiene rabia, como el amor convertido en odio, ni el infierno furia, como una mujer despreciada.”",0
8,@oviedohec en serio pio? 😒 porque sos nenaza es jajaja,1
9,los blancos y tonos claros aportan a la cocina claridad y una sensación acogedora. además el blanco siempre combina… ,0
10,@angeldebritook es una marimacho con actitudes masculinas y con una cara llena de odio .,0
11,"en el libro sobre las mujeres que estoy leyendo aprendí algunas cosas:

1. en argentina las mujeres feministas exis… ",0
12,"@ana_torroja menudo coñazo, peleas como una mujer! ese trabajo es de hombres, no seas nenaza... estas son algunas d… ",1
13,@amaier100 @stoph1122 @lauramd116 @ceperoi1 @naiblackk @nuestraislarm @top50oficial @aitana_ot2017 @cepeda_ot2017 1… ,0
14,"ayer una amiga me dijo que yo hablo muy correcto, como una niña correcta y me sentí como la mismísima mary poppins ",0
15,"-sos una desubicada.
-no te podes vestir asi.
-¿vos querés provocar? 
-¡sos una rebelede!
-te gusta llamar la atenc… ",1
16,"#rizhomahotel ""pareces una puta por que pasas acá. si venís a trabajar te hubieras quedado en la puerta""",1
17,"@gestionpe mujer al volante peligro constante. 
hombre al volante version alucinada de rapidos y furiosos.",1
18,"broke: la cerveza es cosa de hombres, las mujeres no deberían beberla.

joke: cualquiera, sea hombre o mujer, puede… ",1
19,@delfinaaguirre_ mujer tenías que ser siempre ofreciendo la manzana del pecado ahre,1
20,he bajado por un vaso de agua y me han puesto a fregar adiós peli,0
21,"@myswtpride @sisiuve @bts_twt una linda nenaza de seguro 

@bts_twt",1
22,"@yosoynia @tintaporsangre trabajar como un negro, ser una nenaza, mariconez... todas esas tienen acepciones negativ… ",1
23,@gonzaloaraoz4 pareces una puta culia jajajajajaja,0
24,la veo igual de psicópata que la loca del bebito. ¿ustedes no? ,0
25,"discúlpame pero para ser mujer lo que se necesita es la vagina y ya la tenemos, los sueños son cosa aparte y antes… ",0
26,"@_magnetismo creo que pierden el punto...
el objetivo del feminismo es buscar la equidad de género no de estar atac… ",0
27,"por qué tuitean cosas como ""las mujeres no deberían opinar sobre el futbol (u otro deporte)"" y mamadas así? opinen… ",1
28,@dennis_saurio @nonaino_nai @beamacu @airun_82 @cuetos1969 @beranturiano @ireneortuno @salamuponyou @terpdlm… ,0
29,"hoy,  a la espera de dos victorias :contra el fuego que devasta paisajes irrecuperables y contra el odio a las muje… ",0
30,"@santicruz bueno así como una niña puede sentirla tan dentro, bueno así es con tu música, .. ves? así de claro así… ",1
31,@juulisanchezx el otro día vi un video donde le insistió un montón de veces a su bailarín para que le diera un beso… ,1
32,"estas en el siglo xxi si ser pro vida es no tener criterio y ser pro aborto es ser intelectual, q si crees en dios… ",0
33,pequeña introducion: solo eres mujer si neces con genitalia femenina por que debido a eso socializas como una mujer… ,0
34,"otro crush que pasó a ser crushn't es uno que tuvo una conversación en el bus por móvil con un colega y le decía: ""… ",1
35,"@luis_endera ¡cada día más nenaza, endera!
¿no aprendiste nada de sasha?
¿crees que sasha hubiese sacado el móvil p… ",1
36,"@krismisma se llama""falta de responsabilidad"". estas generaciones las han educado muy arropadas y asi les va.
el h.… ",1
37,"@ainhoa_superman tienes toda la razón, como la mayoría de las veces 😜(mujer tenías que ser, desde el buen sentido d… ",0
38,"y en tus días malos, te voy a querer todavía más♡",0
39,"o sea, literal a #anelnoroña la dejan como una mujer de la vida galante en le serie de #joséjosé de #telemundo",0
40,@el_universal_mx pos te digo que no se necesita para ser mujer .. un par de huevos colgandote,0
41,@proyectogalgoar @diazmassarafede @fiore_cristina me encantan las feministas cuando dicen q las mujeres son todas b… ,1
42,@jdsaezcl nenaza!!! se un hombre y toca,1
43,basta: mujer tenías que ser tú  ,0
44,"@szczurivo no se, para mi es una cuestión moral, conozco a banda de gente de esa edad y a ninguno de ellos los escu… ",1
45,necesito que haga frío ya... y salir por bilbao a pasear por la tarde/noche. ver las luces de navidad como una niña… ,0
46,"marimacho, orejona. ",0
47,@sabrina40456565 @miguelcanal15 y de que mas va a hablar niñata es un comunicador comprometido con informar al pueb… ,0
48,"me encanta la bio de @oscarbb_, porque detalla perfecto la lagartona cementera que es.",1
49,@bornxffoam ¿estás en tus días de luna roja o algo parecido?,0
50,"-el país líder en donaciones y transplantes por 26º año consecutivo.
-la decimotercera potencia mundial en pib.
-el… ",0
51,@celesmonaco terriblemente obvia se me cae el papel se superpoderosa superada marimacho y quedó re expuesta,0
52,"y esto venía a que, aun con comida de mi madre en el frigorífico, me da toda la pereza tener que salir a la cocina… ",0
53,"me da rabia ver la tele porque en cualquier peli/ serie escucho mierdas como: nenaza, haces (lo que sea) como una n… ",1
54,"@unaiexy @akihocdm @armin__cdm @ambercdm1 @sexynathcdm @ohfuckcastiel @lysthefarmboy dolio..
-sobo su frente un poc… ",0
55,@micarterameodia @mtxape @montielluque @lorenzoamor_ata @autonomosata @vox_es en su programa proponen derogar la le… ,0
56,resident evil: una serie de peliculas que trata de como una mujer comunista revolucionaria trata de acabar con una… ,0
57,"@luisdiego10 usted está empecinado en este medio a hacerme ver cómo una villana, feminazi. o soy yo? la que soy así en realidad. 🤣🤣🙈🙈🙈🙈",0
58,- estoy acostumbrada a leer tus sueños; afirma la mujer al volante -conozco tus deseos más secretos,0
