,label,text
0,1,"pour une femme, c'est bien."
1,1,habillez-vous sexy et vous signerez n'importe quel contrat.
2,1,avez-vous des règles ?
3,1,arrête d'être garce.
4,1,je pars tôt à cause de ses enfants au lieu de mon mari.
5,1,vous pouvez remercier les quotas
6,1,elle n'aurait jamais eu ce travail si elle n'était pas une femme.
7,1,c'est un truc de femme.
8,1,tu es trop émotif.
9,1,tu dois porter une robe.
10,1,tu dois porter une jupe.
11,1,les talons hauts sont obligatoires
12,1,agir comme une fille mais penser comme un homme
13,1,l ' autonomisation des femmes commence à la maison
14,1,prévoyez-vous d'avoir des enfants ?
15,1,tu n'es toujours pas marié ?
16,1,"tu devrais te marier plus tard, c'est mieux pour ta carrière."
17,1,ne soyez pas si féministe
18,0,les femmes peuvent faire tout ce qu'un homme peut
19,1,meilleures positions pour les hommes
20,1,"ce n'est pas ta faute, tu es une femme."
21,1,les femmes devraient s'occuper de leur foyer.
22,1,laisser la direction de l'entreprise aux hommes
23,1,les femmes sont des problèmes
24,1,"je devrais t'embrasser, ce serait dommage de me priver de moi-même."
25,1,je vais vous expliquer avec des mots simples pour que vous compreniez
26,1,on sait pourquoi elle a été engagée...
27,1,"ne t'inquiète pas pour elle, son mari gagne sa vie."
28,1,"heureusement, tu ne gagnes pas plus que ton petit ami."
29,1,je croyais que tu étais motivé !
30,1,nous avons recruté une nouvelle pub : une femme très gentille
31,1,"nous avons un homme pour ce projet, mais ils veulent absolument une femme, donc nous vous demandons"
32,1,"j'essaie de promouvoir les femmes, bien que les dossiers soient techniques"
33,1,vous sentez-vous capable d'assumer cette tâche ?
34,1,tu n'irais pas nous chercher un café ?
35,0,vous êtes une femme professionnelle
36,1,vous êtes dans une compagnie patriarcale
37,1,la faiblesse est un problème de femme
38,1,c'est un travail d'hommes.
39,1,les femmes sont des employées de maison
40,1,les hommes sont faits pour travailler dur et les femmes pour être ménagères
41,0,ce travail est fait pour tous
42,0,les humains sont des hommes et des femmes
43,1,les hommes sont des locuteurs et les femmes sont des écrivains
44,0,tous les candidats sont acceptés.
45,1,"si tu veux ce boulot, pense comme un homme."
46,0,cette tenue vous va bien.
47,0,c'est une bonne équipe.
48,1,les femmes apprennent lentement
49,0,tout le monde ici est compétent.
50,0,tous les types de personnes sont utiles
51,0,tu es aussi intelligent que ce type.
52,0,beau travail !
53,1,tu dois faire plus d'applications en tant que femme
54,0,les femmes et les hommes peuvent être à la tête de la société.
55,1,les femmes sont beaucoup plus sensibles que les hommes
56,1,les femmes s'énervent toujours plus que les hommes
57,1,"s'il te plaît, sois gentille et apporte-nous du café."
58,0,la diversité entre les sexes est essentielle à une bonne performance
59,1,"ce n'est pas sa faute, c'est une femme !"
60,0,c'est une bonne personnalité.
61,1,et sa carrière si elle tombe enceinte maintenant ?
62,1,ce travail est pour une dame pas un gentleman
63,1,les emplois esthétiques sont réservés aux femmes
64,0,les femmes d'abord !
65,1,"laisse-la s'en occuper, c'est un truc de femme."
66,0,chacun est traité à sa vraie valeur
67,0,les femmes et les hommes peuvent collaborer dans n'importe quelle situation
68,0,ce projet peut être mené par une femme comme un homme
69,0,les femmes et les hommes peuvent partager la même vision
70,1,c'est le côté de sa mère qui parle.
71,0,les femmes et les hommes devraient être payés de la même façon.
72,0,tout le monde a les mêmes opportunités.
73,0,ce lieu de travail est confortable pour les hommes et les femmes
74,0,sa demande est raisonnable donc je dis oui
75,0,les hommes et les femmes veulent travailler pour de grandes entreprises
76,1,"pour moi, elle n'est pas assez forte."
77,0,les femmes et les hommes ont des manières différentes de travailler
78,0,l'égalité des sexes au travail est une question de respect
79,0,les femmes sont éduquées
80,0,les femmes peuvent choisir leurs propres objectifs de vie
81,0,l'égalité des sexes est bonne pour les entreprises
82,0,les femmes sont égales aux hommes
