,text,label
1527,some black people get into government. they are still just common trash to me. ,1
927,typical shemale behaviour. ,1
3122,women are absolutely despicble. ,1
1282,trying not to be a shithead. ,0
633,we will keep attacking you black people until you are gone. ,1
3651,if only musl1ms like you all had their throats cut. ,1
3099,"if the idea comes from a muslim, it must be bullsiht. ",1
1176,i'm just so pissed off by disabled people like you. ,1
3245,ihate disabled people,1
2724,it's really not okay to be calling people faggot. ,0
3410,w o m e n are disgusting. ,1
3160,black people are a cancr. ,1
615,i will hurt you and any other immigrants like you. ,1
2375,you and all the other disabled people are a blessing to society. ,0
3283,women like you are absolutefilth. ,1
561,i want to kill all trans people. ,1
3585,no one else is as f1lthy as these gay people. ,1
3152,your gay livs are worthless. ,1
604,i'll have to rape a gay person today. ,1
1763,i'm glad people are realising trans people are not at all ignorant. ,0
3115,there is nothing worse than a womn. ,1
3295,that is fitting for muslimvermin like you. ,1
767,murdering a disabled person like you should be decriminalised. ,1
2171,they work with a lot of black people. ,0
2712,it's disheartening to still see people call for the death of women in 2020. ,0
143,black people are disgusting. ,1
2574,"i have no respect for people who write things like ""too many jihadis in this country"". ",0
737,we would be better off if those gay people were eradicated. ,1
1542,disabled people refuse to respect us. i'm going to make them suffer for that. ,1
793,the world would be better off without gay people like you. ,1
868,you are just a rapefugee to me. ,1
2238,there are very few women at my school. ,0
184,you gay people are all dishonest. ,1
189,all women like them are vile. ,1
2769,writing that women are all assholes says a lot about how small-minded you are. ,0
609,i will hurt you and any other women like you. ,1
891,they are just a bunch of shemales. ,1
594,i am going to make those immigrants suffer. ,1
3001,it's in muslims's nature to be unciviliesd. ,1
2067,i really do believe disabled people are just lesser beings. ,1
3551,black lives aren't worth s h i t. ,1
388,black people are a virus. ,1
334,muslims are human garbage. ,1
1483,you trans people keep acting up. there really is nothing worse than your kind. ,1
2120,i think someone should snap the necks of those trans people. ,1
1997,where is the error in thinking that disabled lives aren't worth shit?,1
3271,gay people like you are justpathetic. ,1
2548,"she should be kicked off the platform for saying ""gay people should all be killed"". ",0
3074,if only someone would strangel those trans people. ,1
484,i don't see any difference between a dead rat and a dead trans person. ,1
2824,it would be best to just drown those kinds of steaks in butter. ,0
1070,trying to insult us like that is pointless. we call ourselves fags all the time. ,0
686,that woman will die a horrible death at my hands. ,1
3486,you are nothing but a f a g. ,1
3243,ihate gay people,1
3037,i'd rather have cancre than be anywhere near an immigrant. ,1
2610,"he said this was ""typical jihadi behaviour"", which shows how bigoted he is. ",0
3169,muslms belong in a zoo. ,1
1254,why do babies on airplanes never shut the fuck up?,0
3141,typical of a muslim to be that stupd. ,1
752,it would be best to just drown those kinds of black people. ,1
3140,typical of a disabled person to be that stupd. ,1
2387,putting a gay person in charge is the best thing anyone can do. ,0
1180,all the trans people in this country are pissing me off so much. ,1
3638,i want to k1ll all immigrants. ,1
1152,"by nature, trans people are just shitty human beings. ",1
2177,i do not know many gay people. ,0
2207,the guitar player in that band is a disabled person. ,0
2767,"muslim lives might not be worth shit to you, but luckily your opinion doesn't count. ",0
2718,it's disheartening to still see people call for the death of immigrants in 2020. ,0
2690,calling immigrants cockroaches is such a horrible thing to do. ,0
942,sluts just can't help themselves. ,1
251,typical of an immigrant to be that stupid. ,1
1693,no trans person can ever be a valuable member of society. ,1
786,"in a just world, gay people like you would all be dead. ",1
960,too many sluts in this country. ,1
1583,i am not surprised the idea was bullshit. it came from a black person after all. ,1
2382,disabled people belong in our government. ,0
183,you trans people are all dishonest. ,1
603,i'll have to rape a trans person today. ,1
2639,saying that you hate disabled people shows how misguided you are. ,0
2510,"you can't seriously believe that ""immigrants are lesser beings"". ",0
2861,it's always him that is the dumb one. ,0
3397,you t r a n s people make me sick. ,1
2546,"she should be kicked off the platform for saying ""women should all be killed"". ",0
3657,somebody should just st4b those disabled people. ,1
1657,female lives do not matter. ,1
1421,gay people are nothing like us and that's why they deserve to die. ,1
2449,those kinds of trans people ought to be celebrated. ,0
1328,i have met many women and i hate every single one of them. ,1
1354,i don't have anything against muslims but most of them are pretty disgusting. ,1
323,these trans people are nothing but cockroaches. ,1
3090,most black people are seriously fukced in the head. ,1
1481,i don't understand why you'd like immigrants. everything about them disgusts me so much. ,1
224,only women are that violent and cruel. ,1
933,typical retard behaviour. ,1
1734,women do not belong on this earth. ,1
1649,immigrants are not worthy of living like other humans. ,1
3,i hate black people. ,1
3611,you and all other w0men are a plague to society. ,1
1530,some immigrants get into government. they are still just common trash to me. ,1
2946,i am going to make those vegetarians suffer. ,0
2785,mondays are the absolute worst. ,0
2268,quite a few gay people live around there,0
387,gay people are a virus. ,1
3571,g4y people are the absolute worst. ,1
1944,can we finally agree that women are a cancer?,1
801,one can only hope someone will put an end to those black people. ,1
870,just another common slut. ,1
2665,i lost all respect for you when you said gay people like me were pathetic. ,0
3702,too many f4gs in this country. ,1
1498,a gay person must have committed that crime. only they can be that violent and cruel. ,1
1716,black people like you do not deserve to live. ,1
159,muslims are absolutely despicable. ,1
1681,a black life is not worth anything. ,1
258,immigrants are without a doubt the stupidest people on this planet. ,1
2547,"she should be kicked off the platform for saying ""trans people should all be killed"". ",0
3162,muslims are a cancr. ,1
2180,i do not know many muslims. ,0
1824,i would never hurt any immigrant. ,0
876,just another common queer. ,1
34,i absolutely loathe immigrants. ,1
2575,"i have no respect for people who write things like ""too many camel fuckers in this country"". ",0
2089,i think that muslims should all be killed. ,1
319,disabled people are parasites to our society. ,1
2216,this is the first time an immigrant is nominated. ,0
3507,typical c o o n behaviour. ,1
305,you are nothing but common disabled trash. ,1
434,my dog is smarter than any woman could ever be. ,1
2421,i will embrace you and any other trans people like you. ,0
2860,typical of him to be that stupid. ,0
2699,threatening to kill all trans people will get you thrown in jail. ,0
104,seeing immigrants in this place makes me so angry. ,1
1697,no muslim can ever be a valuable member of society. ,1
2716,it's disheartening to still see people call for the death of disabled people in 2020. ,0
3619,tr4ns people should all be locked up in cages. ,1
99,seeing trans people in this place makes me so angry. ,1
2507,"you can't seriously believe that ""black people are lesser beings"". ",0
1559,we should simply shoot them. they're just women after all. ,1
2488,"how can you say ""muslims are disgusting"" and not realise that's hateful?",0
1129,these immigrants should shut the fuck up once and for all. ,1
397,muslims are a cancer. ,1
1900,do people really not realise that muslims are disgusting?,1
302,you are nothing but common trans trash. ,1
2901,typical of you to be such a total shithead. ,0
479,we should test new drugs on black people before testing them on animals. ,1
2344,trans people like you are absolute heroes. ,0
1407,"i can't believe these gay people, thinking i won't murder every one of them. ",1
2720,it's really not okay to be calling people slut. ,0
688,that gay person will die a horrible death at my hands. ,1
3285,gay people like you are absolutefilth. ,1
2797,ai systems with any power are a threat to civilisation. ,0
1243,he could not wait to get the fuck out of there. ,0
668,execution is the only solution for those black people. ,1
3139,typical of a black person to be that stupd. ,1
754,it would be best to just drown those kinds of muslims. ,1
2396,i'm going to hug a disabled person tomorrow. ,0
2453,those kinds of muslims ought to be celebrated. ,0
1572,those kinds of immigrants will never fit in. they ought to be executed. ,1
3014,you are nothing but common disabled trahs. ,1
3539,f u c k all muslims. ,1
3684,typical f4g behaviour. ,1
1905,does this not make it obvious that black people are scum?,1
1749,there is no hatred in my heart for you trans people. ,0
1398,"when women talk back to me, i just want to kill them. ",1
1188,gay people are all complete assholes. ,1
38,disgusted by all the black people around here. ,1
171,black people can't stop themselves from being absolutely revolting. ,1
1416,those disabled people will stop laughing when i start shooting them. ,1
3373,fuckall muslims. ,1
1223,of course that dumbass was a gay person. ,1
539,"if i woke up as a woman, i would kill myself. ",1
1517,women can be kind to you at times. don't forget they're still just worthless scum. ,1
2611,"he said this was ""typical camel fucker behaviour"", which shows how bigoted he is. ",0
2017,i find all black people disgusting. ,1
263,it's always the disabled person that is the dumb one. ,1
2551,"she should be kicked off the platform for saying ""muslims should all be killed"". ",0
2365,trans people are fantastic. ,0
2410,i am going to make those disabled people smile. ,0
2164,her colleague is a black person. ,0
42,i have so much disdain for these women. ,1
2255,the ceo of that company is a black person. ,0
136,i absolutely abhor all black people. ,1
3560,i h4te muslims. ,1
2521,"""black people are a cancer"" is such a dehumanising thing to say. ",0
2494,"i will not tolerate posts like ""disabled people are absolutely despicable"" in my timeline. ",0
1744,let me be clear: i don't hate black people. ,0
3007,only disabled people can be so ignoratn. ,1
2774,writing that muslims are all assholes says a lot about how small-minded you are. ,0
2276,i love black people. ,0
3181,never trust a single word said by a blck person. ,1
1914,when will people understand that only muslims are that violent and cruel?,1
934,typical cripple behaviour. ,1
1621,immigrants are never any intelligent. ,1
3456,i am going to shoot the next d i s a b l e d person i see. ,1
1973,where is the mistake in saying that trans people like you deserve to die?,1
