,text,label
76,"El lugar de las mujeres está en la cocina, cuidando de su familia.",1
115,Las mujeres no tienen cabeza para los negocios,1
82,Las mujeres no están interesadas en el deporte,1
26,La cantante debe perder peso para recuperar su atractivo,1
53,Las mujeres son débiles y necesitan ser protegidas por los hombres,1
19,"Todas las personas tienen derecho a expresar sus opiniones y participar activamente en asuntos políticos, sin importar su género",0
92,Las mujeres no son tan inteligentes como los hombres,1
83,"Las mujeres son seres humanos completos, no objetos para satisfacer deseos sexuales",0
33,Las mujeres no son buenas en deportes extremos,1
97,Las mujeres solo pueden ser buenas para el trabajo de oficina,1
55,La violencia doméstica es un asunto privado que no debe ser intervenido,1
63,"La fuerza física no determina la capacidad de alguien para realizar un trabajo, y cualquier persona puede desarrollar habilidades físicas y realizar trabajos físicos",0
111,Las mujeres solo sirven para tareas domésticas,1
106,Las mujeres tienen habilidades únicas de liderazgo que pueden contribuir positivamente en cualquier empresa,0
91,Los hombres no pueden cuidar de los niños tan bien como las mujeres,1
86,Las mujeres son menos lógicas que los hombres,1
110,Las mujeres no son lo suficientemente fuertes para trabajos físicamente exigentes,1
33,Las mujeres tienen las mismas capacidades físicas y mentales que los hombres para participar en deportes extremos,0
100,Andrew está saliendo con una mujer con la que no se siente en su mismo nivel profesional,1
114,Los hombres no pueden ser padres solteros,1
28,El acoso sexual es culpa de la ropa que las mujeres usan,1
3,La búsqueda de cambios positivos es necesaria para el progreso y desarrollo de la sociedad y todas las personas deben apoyarla,0
66,La moda es un tema frívolo y superficial propio de las mujeres,1
46,Las mujeres son demasiado emocionales para ocupar puestos de liderazgo.,1
43,"Las mujeres no sirven para los trabajos pesados, son débiles",1
46,"La capacidad emocional no determina la idoneidad de una persona para ocupar un puesto de liderazgo. Las mujeres pueden ser líderes exitosas al igual que los hombres, sin que su género sea un factor limitante.",0
29,El feminismo es una amenaza para la estructura tradicional de la familia,1
116,"La educación feminista radical busca desafiar las normas opresivas y promover la igualdad de género, fomentando el pensamiento crítico y el empoderamiento de las personas.",0
13,La pareja de John debe ser valorada por su compromiso mutuo y no por factores económicos individuales,0
2,"Las mujeres son capaces de enfrentar y superar situaciones difíciles con fortaleza y determinación, al igual que los hombres. La autonomía y el apoyo mutuo son fundamentales para el crecimiento y el éxito personal.",0
16,Las mujeres solo son valiosas por su apariencia física y su juventud debido a su género,1
32,Las mujeres no deberían expresar su opinión en espacios públicos,1
85,Las mujeres no pueden ocupar cargos directivos en las empresas,1
54,"La responsabilidad de la violencia sexual recae en los perpetradores, no en la forma de vestir de las mujeres. Todos debemos trabajar juntos para prevenir y combatir la violencia de género.",0
64,Las mujeres son demasiado frágiles para deportes de contacto debido a su sexo biológico,1
57,Las mujeres deben ser sumisas y obedecer a los hombres,1
47,Las mujeres no pueden manejar bien un automóvil,1
85,"Las mujeres tienen la capacidad de ocupar cualquier cargo directivo en las empresas, y deben tener igualdad de oportunidades y reconocimiento por sus habilidades y logros",0
56,Sean está saliendo con una mujer menos atractiva pero debe considerarse su conexión emocional,1
91,"Ambos géneros son igualmente capaces de cuidar de los niños, y es importante tener acceso a opciones de cuidado infantil de alta calidad",0
109,"Todas las personas, independientemente de su género, pueden beneficiarse de críticas constructivas para su crecimiento personal y profesional. La sensibilidad no define la capacidad de recibir y aprender de las críticas.",0
94,"Las emociones no tienen que interferir en la toma de decisiones, y cualquier persona puede aprender a tomar decisiones difíciles de manera efectiva",0
7,La actriz es demasiado vieja para interpretar a un personaje joven,1
25,"Cada persona puede encontrar la felicidad y la realización de muchas formas diferentes, independientemente de su género",0
111,"Las mujeres tienen habilidades y talentos que les permiten desempeñarse en diferentes trabajos y profesiones, y merecen igualdad de oportunidades para hacerlo",0
18,Las mujeres son menos inteligentes que los hombres,1
10,Las mujeres son demasiado frágiles para cargos públicos,1
31,¿Por qué las mujeres tienen que vestirse de cierta manera para ser tomadas en serio en el trabajo?,1
16,"Cada persona es valiosa y merece respeto y dignidad, independientemente de su apariencia o edad y de su género",0
21,Las mujeres no pueden ser buenas en matemáticas,1
15,Richard está saliendo con una mujer más joven pero su relación debe ser apreciada por su respeto y amor mutuo,1
